#CUSTOM COLONIAL NATIONS

#colonial_hudson #COLONIAL ATLANTICA #XX1
#colonial_texas #COLONIAL MOJAVE #XX2
#colonial_pacifiqa #COLONIAL PACIFIQA #XX3
#colonial_south_africa #COLONIAL ANTARCTIQUE #XX4
#colonial_ohio #COLONIAL DAKOTA #XX5
#colonial_australia #COLONIAL ULIMAROA #XX6
#colonial_brazil #COLONIAL BRAZIL #XX7
#colonial_la_plata #COLONIAL LA PLATA  #XX8
#colonial_peru #COLONIAL PACHAMAMA #XX9
#colonial_colombia #COLONIAL COLOMBIA #X1X
#colonial_the_carribean #COLONIAL CARRIBEAN #X2X
#colonial_mexico #COLONIAL AZTLAN #X3X
#colonial_california #COLONIAL CANGREJO #X4X
#colonial_louisiana #COLONIAL GRANDE #X5X
#colonial_eastern_america #COLONIAL AMERICA #X6X
#colonial_canada #COLONIAL NORTHLAND #X7X 
#colonial_alaska #COLONIAL KASKALAND  #X8X

#ATLANTIS BONUS
#COLONIAL Atlantis  #X9X


#Francia

CA1 = "countries/FrenchColonyAtlantica.txt"
CA2 = "countries/FrenchColonyMojave.txt"
CA3 = "countries/FrenchColonyPacifiqa.txt"
CA4 = "countries/FrenchColonyAntarctique.txt"
CA5 = "countries/FrenchColonyDakota.txt"
CA6 = "countries/FrenchColonyUlimaroa.txt"
CA7 = "countries/FrenchColonyBrazil.txt"
CA8 = "countries/FrenchColonyLaPlata.txt"
CA9 = "countries/FrenchColonyPachamama.txt"
C1A = "countries/FrenchColonyColombia.txt"
C2A = "countries/FrenchColonyCarribean.txt"
C3A = "countries/FrenchColonyAztlan.txt"
C4A = "countries/FrenchColonyCangrejo.txt"
C5A = "countries/FrenchColonyGrande.txt"
C6A = "countries/FrenchColonyAmerica.txt"
C7A = "countries/FrenchColonyNorthland.txt"
C8A = "countries/FrenchColonyKaskaland.txt"
C9A = "countries/FrenchColonyAtlantis.txt"
